Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.8026220493414615,34.970969182670835,1.3623232720261913,58.47457627118644
2,1.1616514232766686,55.6945064761054,1.2493756261922546,61.86440677966102
3,1.067677510162718,59.53550692273336,1.2650556473408716,63.559322033898304
4,0.944359203011077,63.19785618579723,1.1677912776753054,63.559322033898304
5,0.850426814022635,67.6641357748995,1.1562927941144523,59.32203389830509
6,0.8037575505151446,67.0388566324252,0.972170175637229,69.49152542372882
7,0.7567962019397724,69.45064761054041,1.0997485377020755,60.16949152542373
8,0.6887613811520605,71.90710138454668,1.1194423661898758,64.40677966101696
9,0.6868571760186983,70.70120589548905,1.0151754817215062,68.64406779661017
10,0.5686206863681458,75.79276462706565,0.9457941919060077,70.33898305084746
11,0.4854595716668325,80.21438142027691,0.9430448220948041,66.10169491525424
12,0.5063988756473281,77.66860205448862,0.9539809343168291,70.33898305084746
13,0.4757650511080583,80.48235819562305,1.0434381663799286,70.33898305084746
14,0.3956112796677815,82.358195623046,0.9452801006451502,72.88135593220339
15,0.406659318599226,83.16212594908441,0.9105250752073223,71.1864406779661
16,0.3710272889842195,84.23403305046897,0.9272030940500356,72.03389830508475
17,0.3632573257897144,84.18937025457794,0.963507058193623,74.57627118644068
18,0.33658518869464765,84.54667262170612,1.0513669242293149,69.49152542372882
19,0.3557005816935002,84.76998660116124,1.1514385883080758,69.49152542372882
20,0.32903836324791014,85.84189370254578,1.2955271333961162,64.40677966101696
21,0.3348942253141331,86.24385886556499,1.243853071483515,68.64406779661017
22,0.3054673146488093,86.8691380080393,1.1637215414794826,70.33898305084746
23,0.3176653047340584,86.19919606967396,1.2075508590471946,70.33898305084746
24,0.30398431512169033,86.51183564091112,1.2381743015879292,70.33898305084746
25,0.29984635460744113,86.82447521214829,1.1686173116756697,71.1864406779661
26,0.2973517888941473,87.62840553818668,1.2466483510146706,70.33898305084746
27,0.2766564667304747,88.11969629298794,1.2524222191107475,71.1864406779661
28,0.2961894294256182,86.4671728450201,1.1350975738743605,69.49152542372882
29,0.28972283970729323,87.53907994640464,1.2153369569677417,69.49152542372882
30,0.26539830297111877,88.70031263957124,1.2265619139297534,72.03389830508475
31,0.27545893108102026,88.0303707012059,1.2943285655672268,68.64406779661017
32,0.28163002011444804,88.0303707012059,1.215912131182218,68.64406779661017
33,0.2898932951483784,86.73514962036623,1.2195837896759227,71.1864406779661
34,0.3082788888899116,87.58374274229567,1.2077467810299436,70.33898305084746
35,0.28444798862417664,87.80705672175078,1.2826375196040687,69.49152542372882
36,0.28493626839670555,88.16435908887897,1.3063580969632682,71.1864406779661
37,0.2833440676764113,87.85171951764181,1.3164338174007706,68.64406779661017
38,0.28493722316914233,87.76239392585975,1.2495895808531066,70.33898305084746
39,0.26639848461689936,87.85171951764181,1.2640656864238997,67.79661016949153
40,0.2932015099513206,87.4497543546226,1.2474757167747466,70.33898305084746
41,0.29478503721747457,87.53907994640464,1.1831866161803068,72.88135593220339
42,0.2939158348485581,87.85171951764181,1.2644436384661724,69.49152542372882
43,0.286799537371503,87.62840553818668,1.2629853244555198,69.49152542372882
44,0.27865992803933526,88.20902188476998,1.3142948802244865,67.79661016949153
45,0.2781115138621243,87.98570790531487,1.2784100725489147,69.49152542372882
46,0.26313449473000894,89.05761500669942,1.3144172076451577,68.64406779661017
47,0.2682706705823228,88.07503349709692,1.1967611946796968,71.1864406779661
48,0.2677779815202581,88.6109870477892,1.3145635044675763,70.33898305084746
49,0.29058025234935003,87.27110317105851,1.2524628232596284,67.79661016949153
50,0.2796914675183571,87.94104510942385,1.3464287052215156,69.49152542372882
