Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,2.768018633939156,7.949977668602054,2.4586450972799527,13.559322033898304
2,2.76429547886595,7.369361322018758,2.4528944653979803,11.864406779661017
3,2.7819347724471575,7.369361322018758,2.4457163406630693,11.016949152542374
4,2.7573828196727894,7.280035730236713,2.458361169039193,12.711864406779661
5,2.778726040225521,7.860652076820009,2.4618551165370617,11.864406779661017
6,2.1604993601045526,26.976328718177758,1.7739376152976085,49.152542372881356
7,1.6937034991555258,51.317552478785174,1.837196979482295,48.30508474576271
8,1.5581537132659307,55.47119249665029,1.6762399198645253,62.71186440677966
9,1.5362733851164885,59.26753014738723,1.6609108448028564,67.79661016949153
10,1.4394982378628702,65.16301920500223,1.7406638598037978,61.016949152542374
11,1.4016125817658807,64.8950424296561,1.6976409655506328,62.71186440677966
12,1.3755622577752424,66.36891469405985,1.6942855402574701,61.016949152542374
13,1.3338947176081413,69.27199642697633,1.6972783662505069,67.79661016949153
14,1.2351634464076504,73.82760160786066,1.547044598450095,71.1864406779661
15,1.223347565807259,74.18490397498883,1.4948828058727717,72.03389830508475
16,1.2018499420710365,76.32871817775792,1.5344144893904863,69.49152542372882
17,1.1962777928296557,76.15006699419384,1.5305710283376404,70.33898305084746
18,1.1641776174133833,76.01607860652076,1.5615957369238644,70.33898305084746
19,1.1610729436141778,77.8472532380527,1.5530623924934257,70.33898305084746
20,1.135357716191076,78.33854399285396,1.5425221051199962,71.1864406779661
21,1.1460750852647026,78.47253238052703,1.4898508958897347,73.72881355932203
22,1.1485734193013044,77.31129968736043,1.5170006226685087,72.03389830508475
23,1.1459834797140636,77.53461366681555,1.5180937536692216,72.88135593220339
24,1.1240314581182291,78.65118356409111,1.5091768361754336,70.33898305084746
25,1.1198415069401184,78.56185797230907,1.5397917335316287,72.03389830508475
26,1.1242680134332408,78.56185797230907,1.500961921982846,71.1864406779661
27,1.1518204101444942,78.87449754354623,1.537162501933211,72.03389830508475
28,1.134333063790499,80.21438142027691,1.5514413118362427,69.49152542372882
29,1.1390002334474612,78.91916033943725,1.4962399773678536,72.88135593220339
30,1.125600104142428,79.4104510942385,1.521667569370593,71.1864406779661
31,1.1250962697538536,78.87449754354623,1.512426286430682,72.88135593220339
32,1.1263925665028662,77.8472532380527,1.5124227879411083,71.1864406779661
33,1.1220049106845795,78.91916033943725,1.5187451960676808,72.03389830508475
34,1.1204609209110077,80.39303260384101,1.5274437221430115,70.33898305084746
35,1.1243313565856914,79.32112550245645,1.5389764915078372,71.1864406779661
36,1.1382013833538769,78.69584635998214,1.5105332499843533,71.1864406779661
37,1.1441705721518247,78.60652076820008,1.5153409141605183,70.33898305084746
38,1.1137784068048826,80.48235819562305,1.5093291997909546,72.03389830508475
39,1.1015762170013863,80.34836980794998,1.4885265928203777,73.72881355932203
40,1.122113472225944,79.85707905314872,1.5129056077892498,70.33898305084746
41,1.1249764725639118,80.21438142027691,1.509987762418844,70.33898305084746
42,1.1008810087632472,80.08039303260384,1.5229711754847381,71.1864406779661
43,1.142635505079105,78.47253238052703,1.5261884099346097,69.49152542372882
44,1.1412213238396247,78.65118356409111,1.5270615917141155,71.1864406779661
45,1.1507464772412266,78.33854399285396,1.525361754126468,72.03389830508475
46,1.125371698185289,79.45511389012952,1.4706473229295116,72.88135593220339
47,1.1276511248864995,79.85707905314872,1.5081972025208554,74.57627118644068
48,1.1444317851550028,77.40062527914247,1.5307533296488098,71.1864406779661
49,1.1306339655139714,78.47253238052703,1.5239895157894845,69.49152542372882
50,1.111953149367891,80.52702099151406,1.5443525354740983,70.33898305084746
